opportunity_id,match_id,match_date,league,country,home_team,away_team,home_score,away_score,match_status,minute,red_cards_home,red_cards_away,season,round,rule_slug,rule_name,bet_type,opportunity_type,confidence_score,team_analyzed,outcome,home_team_rank,away_team_rank,home_confidence,away_confidence,home_consecutive_losses,away_consecutive_losses,home_consecutive_draws,away_consecutive_draws,home_consecutive_no_goals,away_consecutive_no_goals,created_at
201,1169,2025-11-30 21:05,Premier League,England,Aston Villa,Wolves,1,0,finished,N/A,0,0,2025,13,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6000000000000001,Wolves,lose,6,20,0.0,0.6000000000000001,0,5,0,0,0,3,2025-11-29 10:39:52
200,1224,2025-11-30 20:30,Premier League,Russia,Akhmat Grozny,Dynamo Moscow,2,1,finished,N/A,0,0,2025,17,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Akhmat Grozny,win,11,10,0.5,0.0,4,0,0,0,1,0,2025-11-29 10:39:52
199,1217,2025-11-30 20:30,Eredivisie,Netherlands,Telstar,Feyenoord,1,2,finished,N/A,0,0,2025,14,top5_consecutive_losses,Top 5 Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,Feyenoord,win,18,2,0.0,0.7,0,2,3,0,0,0,2025-11-29 10:39:52
198,1217,2025-11-30 20:30,Eredivisie,Netherlands,Telstar,Feyenoord,1,2,finished,N/A,0,0,2025,14,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Telstar,win,18,2,0.5,0.0,0,2,3,0,0,0,2025-11-29 10:39:52
197,1176,2025-11-30 00:30,LaLiga,Spain,Levante,Ath Bilbao,0,2,finished,N/A,0,0,2025,14,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Levante,lose,19,8,0.5,0.0,3,1,0,0,1,1,2025-11-29 10:39:52
196,1203,2025-11-29 23:00,Ligue 1,France,Monaco,PSG,1,0,finished,N/A,0,0,2025,14,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6,Monaco,win,6,1,0.6,0.0,3,0,0,0,0,0,2025-11-29 10:39:52
195,1164,2025-11-29 22:00,Premier League,England,Manchester City,Leeds,3,2,finished,N/A,0,0,2025,13,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Leeds,lose,2,16,0.0,0.5,1,3,0,0,0,0,2025-11-29 10:39:52
194,1163,2025-11-29 22:00,Premier League,England,Brentford,Burnley,3,1,finished,N/A,0,0,2025,13,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Burnley,lose,12,17,0.0,0.5,1,3,0,0,0,1,2025-11-29 10:39:52
193,1184,2025-11-29 21:30,Bundesliga,Germany,Bayern Munich,St. Pauli,3,1,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,St. Pauli,lose,1,16,0.0,0.5,0,5,0,0,0,1,2025-11-29 10:39:52
192,1229,2025-11-29 18:00,FNL,Russia,FK Chayka,Ufa,1,1,finished,N/A,0,0,2025,21,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6,Ufa,win,18,14,0.5,0.6,5,3,0,0,0,1,2025-11-29 10:39:52
191,1099,2025-11-22 21:00,Serie A,Italy,Cagliari,Genoa,3,3,finished,93,0,1,2025,12,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.55,Cagliari,lose,14,18,N/A,N/A,0,0,1,1,2,0,2025-11-22 15:54:40
189,1089,2025-11-25 03:00,LaLiga,Spain,Espanyol,Sevilla,2,1,finished,N/A,0,0,2025,13,top5_consecutive_losses,Top 5 Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,Espanyol,win,5,11,0.7,0.0,2,0,0,0,1,0,2025-11-21 09:00:00
188,1107,2025-11-25 00:30,Serie A,Italy,Torino,Como,1,5,finished,N/A,0,0,2025,12,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Torino,win,13,6,0.5,0.0,0,0,3,2,1,2,2025-11-21 09:00:00
187,1098,2025-11-23 23:30,Bundesliga,Germany,St. Pauli,Union Berlin,0,1,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,St. Pauli,lose,16,11,0.5,0.0,5,0,0,2,0,0,2025-11-21 09:00:00
186,1116,2025-11-23 23:15,Ligue 1,France,Toulouse,Angers,0,1,finished,N/A,0,0,2025,13,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Toulouse,win,10,13,0.5,0.0,0,0,3,0,0,0,2025-11-21 09:00:00
185,1113,2025-11-23 21:00,Ligue 1,France,Auxerre,Lyon,0,0,finished,N/A,0,0,2025,13,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6500000000000001,Auxerre,win,18,7,0.6500000000000001,0.0,4,1,0,0,4,0,2025-11-21 09:00:00
184,1139,2025-11-22 23:30,Premier League,Russia,Rubin Kazan,Akhmat Grozny,1,0,finished,N/A,0,0,2025,16,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Akhmat Grozny,lose,7,11,0.0,0.5,0,3,2,0,4,0,2025-11-21 09:00:00
183,1075,2025-11-22 22:00,Premier League,England,Wolves,Crystal Palace,0,2,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.55,Wolves,lose,20,10,0.55,0.0,4,0,0,1,2,1,2025-11-21 09:00:00
182,1091,2025-11-22 21:30,Bundesliga,Germany,Augsburg,Hamburger SV,1,0,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Augsburg,win,15,13,0.5,0.0,3,0,0,1,0,0,2025-11-21 09:00:00
181,1155,2025-11-22 19:00,FNL,Russia,FK Chayka,Neftekhimik,2,4,finished,N/A,0,0,2025,20,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,FK Chayka,lose,18,11,0.5,0.0,5,0,0,0,0,0,2025-11-21 09:00:00
180,1154,2025-11-22 17:30,FNL,Russia,Ural,S. Kostroma,1,1,finished,N/A,0,0,2025,20,top5_consecutive_losses,Top 5 Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,S. Kostroma,win,2,4,0.0,0.7,1,2,0,0,1,1,2025-11-21 09:00:00
179,1031,2025-11-09 23:15,Ligue 1,France,Angers,Auxerre,2,0,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6000000000000001,Auxerre,lose,14,18,0.0,0.6000000000000001,1,3,0,0,1,3,2025-11-08 17:34:22
178,1013,2025-11-09 21:30,Bundesliga,Germany,Freiburg,St. Pauli,2,1,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.6500000000000001,St. Pauli,lose,11,15,0.0,0.6500000000000001,0,5,1,0,2,4,2025-11-08 17:34:22
177,981,2025-11-09 03:00,Premier League,England,Chelsea,Wolves,3,0,finished,N/A,0,0,2025,11,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Wolves,lose,7,20,0.0,0.5,0,3,0,0,0,1,2025-11-08 17:34:22
176,1038,2025-11-09 02:00,Eredivisie,Netherlands,Sittard,Heerenveen,2,0,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Sittard,win,12,9,0.5,0.0,3,0,0,2,0,0,2025-11-08 17:34:22
175,999,2025-11-08 22:15,LaLiga,Spain,Sevilla,Osasuna,1,0,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.575,Sevilla,win,11,14,0.575,0.0,3,0,0,1,1,1,2025-11-08 17:34:22
174,1009,2025-11-08 21:30,Bundesliga,Germany,Hamburger SV,Dortmund,1,1,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Hamburger SV,win,13,3,0.5,0.0,3,0,0,0,0,0,2025-11-08 17:34:22
173,1061,2025-11-08 19:00,FNL,Russia,Arsenal Tula,FK Chayka,1,0,finished,N/A,0,0,2025,18,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,FK Chayka,lose,11,18,0.0,0.5,0,3,0,0,0,1,2025-11-08 17:34:22
172,963,2025-11-03 00:00,Serie A,Italy,Parma,Bologna,1,3,finished,38,1,0,2025,10,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.55,Bologna,win,15,7,N/A,N/A,1,0,0,2,0,1,2025-11-02 17:39:21
171,898,2025-11-02 20:00,LaLiga,Spain,Levante,Celta Vigo,1,2,finished,67,1,0,2025,11,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.5,Celta Vigo,win,15,13,N/A,N/A,0,0,1,0,0,0,2025-11-02 14:30:33
170,962,2025-11-02 21:00,Serie A,Italy,Torino,Pisa,2,2,finished,N/A,0,0,2025,10,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Pisa,lose,13,17,0.0,0.5,0,0,1,3,1,1,2025-11-02 12:44:08
169,879,2025-11-03 20:00,FNL,Russia,R. Volgograd,Arsenal Tula,1,2,finished,N/A,0,0,2025,17,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.5,Arsenal Tula,win,4,12,0.0,0.5,0,0,1,3,2,0,2025-10-29 00:11:28
168,946,2025-11-03 01:00,Primeira Liga,Portugal,Arouca,Moreirense,0,2,finished,N/A,0,0,2025,10,top5_consecutive_losses,Top 5 Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,Moreirense,win,13,5,0.0,0.7,1,2,0,0,1,0,2025-10-29 00:11:28
167,939,2025-11-02 22:45,Eredivisie,Netherlands,Utrecht,Nijmegen,1,0,finished,N/A,0,0,2025,11,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.6,Nijmegen,win,9,7,0.0,0.6,1,0,0,3,0,0,2025-10-29 00:11:28
166,945,2025-11-02 22:30,Primeira Liga,Portugal,AFS,Tondela,2,2,finished,N/A,0,0,2025,10,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,AFS,win,18,17,0.5,0.0,5,2,0,0,1,2,2025-10-29 00:11:28
